(1, 1),
(3, 2),
(8, 3),
(28, 4),
(14, 5),
(9, 6),
(20, 7),
(24, 8),
(9, 9),
(1, 10),
(19, 11),
(23, 12),
(23, 13),
(14, 14),
(21, 15),
(27, 16),
(12, 17),
(18, 18),
(19, 19),
(8, 20),
(18, 21),
(22, 22),
(9, 23),
(25, 24),
(2, 25),
(7, 26),
(9, 27),
(26, 28),
(15, 29),
(1, 30),
(26, 31),
(10, 32),
(4, 33),
(26, 34),
(11, 35),
(1, 36),
(18, 37),
(16, 38),
(4, 39),
(4, 40),
(15, 41),
(3, 42),
(5, 43),
(3, 44),
(11, 45),
(11, 46),
(2, 47),
(5, 48),
(2, 49),
(27, 50),
(27, 51),
(23, 52),
(17, 53),
(6, 54),
(29, 55),
(21, 56),
(27, 57),
(14, 58),
(7, 59),
(18, 60),
(18, 61),
(10, 62),
(4, 63),
(23, 64),
(15, 65),
(5, 66),
(10, 67),
(18, 68),
(11, 69),
(1, 70),
(4, 71),
(26, 72),
(6, 73),
(7, 74),
(27, 75),
(22, 76),
(25, 77),
(20, 78),
(29, 79),
(23, 80),
(3, 81),
(17, 82),
(12, 83),
(14, 84),
(17, 85),
(17, 86),
(15, 87),
(23, 88),
(10, 89),
(13, 90),
(27, 91),
(15, 92),
(16, 93),
(29, 94),
(18, 95),
(28, 96),
(11, 97),
(9, 98),
(12, 99),
(25, 100),
(2, 101),
(29, 102),
(7, 103),
(23, 104),
(28, 105),
(24, 106),
(20, 107),
(12, 108),
(14, 109),
(14, 110),
(18, 111),
(29, 112),
(3, 113),
(28, 114),
(14, 115),
(1, 116),
(14, 117),
(21, 118),
(23, 119),
(20, 120),
(14, 121),
(19, 122),
(7, 123),
(15, 124),
(16, 125),
(26, 126),
(7, 127),
(12, 128),
(27, 129),
(13, 130),
(26, 131),
(29, 132),
(5, 133),
(9, 134),
(20, 135),
(8, 136),
(19, 137),
(26, 138),
(16, 139),
(3, 140),
(4, 141),
(5, 142),
(7, 143),
(4, 144),
(2, 145),
(5, 146),
(23, 147),
(3, 148),
(13, 149),
(9, 150),
(20, 151),
(9, 152),
(8, 153),
(16, 154),
(5, 155),
(15, 156),
(25, 157),
(27, 158),
(26, 159),
(9, 160),
(5, 161),
(29, 162),
(22, 163),
(25, 164),
(23, 165),
(14, 166),
(28, 167),
(8, 168),
(17, 169),
(6, 170),
(16, 171),
(8, 172),
(29, 173),
(6, 174),
(29, 175),
(28, 176),
(8, 177),
